director_name,num_critic_for_reviews,director_likes,actor_3_name,actor_3_likes,actor_2_name,actor_2_likes,actor_1_name,actor_1_likes,gross,Movie Name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_likes
Robert Zemeckis,240,0,Gary Oldman,10000,Colin Firth,14000,Robin Wright,18000,137850096,A Christmas CarolÂ ,72809,48878,249,English,USA,PG,200000000,2009,6.8,2.35,0
Lana Wachowski,384,0,Eddie Redmayne,13000,Mila Kunis,15000,Channing Tatum,17000,47375327,Jupiter AscendingÂ ,139593,47334,720,English,USA,PG-13,176000000,2015,5.4,2.35,44000
David Yates,248,282,Casper Crump,103,Alexander SkarsgÃ¥rd,10000,Christoph Waltz,11000,124051759,The Legend of TarzanÂ ,42372,21175,239,English,USA,PG-13,180000000,2016,6.6,2.35,29000
Andrew Adamson,284,80,Shane Rangi,82,Kiran Shah,190,Jim Broadbent,1000,291709845,"The Chronicles of Narnia: The Lion, the Witch and the WardrobeÂ ",286506,1317,1463,English,USA,PG,180000000,2005,6.9,2.35,0
Bryan Singer,396,0,Tye Sheridan,1000,Michael Fassbender,13000,Jennifer Lawrence,34000,154985087,X-Men: ApocalypseÂ ,148379,49684,622,English,USA,PG-13,178000000,2016,7.3,2.35,54000
Christopher Nolan,645,22000,Morgan Freeman,11000,Heath Ledger,13000,Christian Bale,23000,533316061,The Dark KnightÂ ,1676169,57802,4667,English,USA,PG-13,185000000,2008,9,2.35,37000
Pete Docter,408,0,Jess Harnell,262,Delroy Lindo,848,John Ratzenberger,1000,292979556,UpÂ ,665575,2635,704,English,USA,PG,175000000,2009,8.3,1.85,27000
Rob Letterman,219,11,Stephen Colbert,459,Rainn Wilson,973,Amy Poehler,1000,198332128,Monsters vs. AliensÂ ,114553,2579,187,English,USA,PG,175000000,2009,6.5,2.35,0
Jon Favreau,486,4000,Jon Favreau,4000,Jeff Bridges,12000,Robert Downey Jr.,21000,318298180,Iron ManÂ ,696338,39252,1055,English,USA,PG-13,140000000,2008,7.9,2.35,10000
Martin Scorsese,682,17000,Ray Winstone,1000,Christopher Lee,16000,ChloÃ« Grace Moretz,17000,73820094,HugoÂ ,245333,36017,678,English,USA,PG,170000000,2011,7.5,1.85,42000
Barry Sonnenfeld,85,188,Bai Ling,582,Salma Hayek,4000,Will Smith,10000,113745408,Wild Wild WestÂ ,129601,15870,648,English,USA,PG-13,170000000,1999,4.8,1.85,0
Rob Cohen,264,357,Russell Wong,595,Brendan Fraser,3000,Jet Li,5000,102176165,The Mummy: Tomb of the Dragon EmperorÂ ,117927,9131,501,English,USA,PG-13,145000000,2008,5.2,2.35,0
David Ayer,418,452,Ike Barinholtz,329,Robin Atkin Downes,336,Will Smith,10000,161087183,Suicide SquadÂ ,118992,11287,971,English,USA,PG-13,175000000,2016,6.9,2.35,80000
Tom Shadyac,186,293,Steve Carell,7000,Morgan Freeman,11000,Jimmy Bennett,87000,100289690,Evan AlmightyÂ ,115099,108016,257,English,USA,PG,175000000,2007,5.4,2.35,2000
Doug Liman,585,218,Noah Taylor,509,Lara Pulver,854,Tom Cruise,10000,100189501,Edge of TomorrowÂ ,431620,12652,741,English,USA,PG-13,178000000,2014,7.9,2.35,77000
Kevin Reynolds,91,58,Zakes Mokae,60,Rick Aviles,60,Jeanne Tripplehorn,711,88246220,WaterworldÂ ,144337,1004,309,English,USA,PG-13,175000000,1995,6.1,1.85,0
Stephen Sommers,250,208,Leo Howard,570,Dennis Quaid,2000,Joseph Gordon-Levitt,23000,150167630,G.I. Joe: The Rise of CobraÂ ,174578,26683,534,English,USA,PG-13,175000000,2009,5.8,2.35,0
Pete Docter,536,0,Phyllis Smith,384,Mindy Kaling,767,Amy Poehler,1000,356454367,Inside OutÂ ,345198,2944,773,English,USA,PG,175000000,2015,8.3,1.85,118000
Jon Favreau,370,4000,Garry Shandling,591,Bill Murray,13000,Scarlett Johansson,19000,362645141,The Jungle BookÂ ,106072,32921,398,English,UK,PG,175000000,2016,7.8,1.85,65000
Jon Favreau,453,4000,Jon Favreau,4000,Scarlett Johansson,19000,Robert Downey Jr.,21000,312057433,Iron Man 2Â ,522371,48638,723,English,USA,PG-13,200000000,2010,7,2.35,18000
Rupert Sanders,416,274,Sam Claflin,11000,Kristen Stewart,17000,Chris Hemsworth,26000,155111815,Snow White and the HuntsmanÂ ,228554,72881,710,English,USA,PG-13,170000000,2012,6.1,2.35,53000
Robert Stromberg,401,171,Sam Riley,846,Sharlto Copley,2000,Angelina Jolie Pitt,11000,241407328,MaleficentÂ ,252257,15516,634,English,USA,PG,180000000,2014,7,2.35,89000
Matt Reeves,521,198,Kodi Smit-McPhee,884,Judy Greer,2000,Gary Oldman,10000,208543795,Dawn of the Planet of the ApesÂ ,317542,14363,620,English,USA,PG-13,170000000,2014,7.6,1.85,45000
Roland JoffÃ©,10,596,Bipasha Basu,283,Alice Englert,525,Tamsin Egerton,622,,The LoversÂ ,2138,1982,15,English,Belgium,R,,2015,4.5,,677
Carl Rinsch,218,47,Jin Akanishi,982,Cary-Hiroyuki Tagawa,1000,Keanu Reeves,18000,38297305,47 RoninÂ ,116994,20965,324,English,USA,PG-13,175000000,2013,6.3,2.35,35000
Anthony Russo,576,94,Hayley Atwell,2000,Chris Evans,11000,Scarlett Johansson,19000,259746958,Captain America: The Winter SoldierÂ ,496749,36188,742,English,USA,PG-13,170000000,2014,7.8,2.35,55000
Mike Mitchell,226,31,Mary Kay Place,213,Kathy Griffin,225,Jon Hamm,4000,238371987,Shrek Forever AfterÂ ,138661,4628,173,English,USA,PG,165000000,2010,6.4,2.35,0
Brad Bird,443,663,Thomas Robinson,604,Chris Bauer,638,Judy Greer,2000,93417865,TomorrowlandÂ ,128306,5046,497,English,USA,PG,190000000,2015,6.5,2.2,37000
Don Hall,384,38,Abraham Benrubi,562,Daniel Henney,719,Damon Wayans Jr.,756,222487711,Big Hero 6Â ,279093,2963,433,English,USA,PG,165000000,2014,7.9,2.39,41000
Rich Moore,377,66,Joe Lo Truglio,833,Sarah Silverman,931,Jack McBrayer,975,189412677,Wreck-It RalphÂ ,272534,4451,345,English,USA,PG,165000000,2012,7.8,2.35,40000
Robert Zemeckis,188,0,Peter Scolari,267,Eddie Deezen,726,Tom Hanks,15000,665426,The Polar ExpressÂ ,120798,16264,444,English,USA,G,165000000,2004,6.6,2.35,10000
Roland Emmerich,286,776,Judd Hirsch,535,Sela Ward,812,Vivica A. Fox,890,102315545,Independence Day: ResurgenceÂ ,58137,3233,520,English,USA,PG-13,165000000,2016,5.5,2.35,67000
Dean DeBlois,288,255,Craig Ferguson,759,America Ferrera,953,Gerard Butler,18000,217387997,How to Train Your DragonÂ ,485430,20453,492,English,USA,PG,165000000,2010,8.2,2.35,33000
Jonathan Mostow,280,84,Carolyn Hennesy,191,M.C. Gainey,284,Nick Stahl,648,150350192,Terminator 3: Rise of the MachinesÂ ,305340,1769,1676,English,USA,R,200000000,2003,6.4,2.35,0
James Gunn,653,571,Djimon Hounsou,3000,Vin Diesel,14000,Bradley Cooper,14000,333130696,Guardians of the GalaxyÂ ,682155,32438,1097,English,USA,PG-13,170000000,2014,8.1,2.35,96000
Christopher Nolan,712,22000,Mackenzie Foy,6000,Anne Hathaway,11000,Matthew McConaughey,11000,187991439,InterstellarÂ ,928227,31488,2725,English,USA,PG-13,165000000,2014,8.6,2.35,349000
Christopher Nolan,642,22000,Joseph Gordon-Levitt,23000,Tom Hardy,27000,Leonardo DiCaprio,29000,292568851,InceptionÂ ,1468200,81115,2803,English,USA,PG-13,160000000,2010,8.8,2.35,175000
Hideaki Anno,1,28,Atsuko Maeda,12,Shin'ya Tsukamoto,106,Mark Chinnery,544,,Godzilla ResurgenceÂ ,374,699,13,Japanese,Japan,,,2016,8.2,2.35,0
Peter Jackson,645,0,James Nesbitt,773,Adam Brown,972,Aidan Turner,5000,303001229,The Hobbit: An Unexpected JourneyÂ ,637246,9152,1367,English,USA,PG-13,180000000,2012,7.9,2.35,166000
Rob Cohen,187,357,Jordana Brewster,4000,Vin Diesel,14000,Paul Walker,23000,144512310,The Fast and the FuriousÂ ,272223,45327,988,English,USA,PG-13,38000000,2001,6.7,2.35,14000
David Fincher,362,21000,Julia Ormond,919,Jason Flemyng,1000,Brad Pitt,11000,127490802,The Curious Case of Benjamin ButtonÂ ,459346,13333,822,English,USA,PG-13,150000000,2008,7.8,2.35,23000
Matthew Vaughn,500,905,Oliver Platt,1000,Michael Fassbender,13000,Jennifer Lawrence,34000,146405371,X-Men: First ClassÂ ,518537,50983,698,English,USA,PG-13,160000000,2011,7.8,2.35,54000
Francis Lawrence,389,508,Josh Hutcherson,14000,Philip Seymour Hoffman,22000,Jennifer Lawrence,34000,281666058,The Hunger Games: Mockingjay - Part 2Â ,166137,81385,383,English,USA,PG-13,160000000,2015,6.6,2.35,38000
Jon Turteltaub,235,226,Robert Capron,370,Omar Benson Miller,418,Nicolas Cage,12000,63143812,The Sorcerer's ApprenticeÂ ,124185,13388,238,English,USA,PG,150000000,2010,6.1,2.35,11000
Wolfgang Petersen,231,249,Andre Braugher,702,Mike Vogel,2000,Jimmy Bennett,87000,60655503,PoseidonÂ ,82380,92456,629,English,USA,PG-13,160000000,2006,5.6,2.35,0
James Bobin,218,33,Anne Hathaway,11000,Alan Rickman,25000,Johnny Depp,40000,76846624,Alice Through the Looking GlassÂ ,21352,80806,131,English,USA,PG,170000000,2016,6.4,1.85,30000
Chris Miller,227,50,Rupert Everett,692,Eric Idle,795,Justin Timberlake,3000,320706665,Shrek the ThirdÂ ,211971,4705,326,English,USA,PG,160000000,2007,6.1,1.85,0
Duncan Jones,275,0,Ruth Negga,648,Callum Rennie,716,Dominic Cooper,3000,46978995,WarcraftÂ ,111609,5505,781,English,USA,PG-13,160000000,2016,7.3,2.35,89000
Alan Taylor,474,230,Matt Smith,2000,Emilia Clarke,10000,J.K. Simmons,24000,89732035,Terminator GenisysÂ ,188457,38873,867,English,USA,PG-13,155000000,2015,6.6,2.35,82000
Michael Apted,228,150,Laura Brent,59,Shane Rangi,82,Bruce Spence,531,104383624,The Chronicles of Narnia: The Voyage of the Dawn TreaderÂ ,106446,764,227,English,USA,PG,155000000,2010,6.3,1.78,11000
Michael Bay,191,0,Mako,691,Jaime King,961,Jennifer Garner,3000,198539855,Pearl HarborÂ ,254111,5401,1999,English,USA,PG-13,140000000,2001,6.1,2.35,0
Michael Bay,396,0,Kevin Dunn,581,Michael O'Neill,599,Zack Ward,662,318759914,TransformersÂ ,513158,2333,1782,English,USA,PG-13,150000000,2007,7.1,2.35,8000
Oliver Stone,248,0,Brian Blessed,591,Angelina Jolie Pitt,11000,Anthony Hopkins,12000,34293771,AlexanderÂ ,138863,24598,1390,English,Germany,R,155000000,2004,5.5,2.35,0
David Yates,329,282,Fiona Shaw,687,Daniel Radcliffe,11000,Robert Pattinson,21000,292000866,Harry Potter and the Order of the PhoenixÂ ,355137,33433,1108,English,UK,PG-13,150000000,2007,7.5,2.35,0
Mike Newell,295,179,Rupert Grint,10000,Daniel Radcliffe,11000,Robert Pattinson,21000,289994397,Harry Potter and the Goblet of FireÂ ,385670,53413,1896,English,UK,PG-13,150000000,2005,7.6,2.35,0
Peter Berg,318,532,Eddie Marsan,979,Charlize Theron,9000,Will Smith,10000,227946274,HancockÂ ,343648,21584,590,English,USA,PG-13,150000000,2008,6.4,2.35,0
Francis Lawrence,323,508,Willow Smith,558,Alice Braga,1000,Will Smith,10000,256386216,I Am LegendÂ ,530870,13076,1413,English,USA,PG-13,150000000,2007,7.2,2.35,11000
Tim Burton,276,13000,David Kelly,588,Christopher Lee,16000,Johnny Depp,40000,206456431,Charlie and the Chocolate FactoryÂ ,320284,57844,1361,English,USA,PG,150000000,2005,6.7,1.85,0
Brad Bird,318,663,Brian Dennehy,954,John Ratzenberger,1000,Janeane Garofalo,1000,206435493,RatatouilleÂ ,473887,4764,626,English,USA,G,150000000,2007,8,2.35,10000
Christopher Nolan,478,22000,Morgan Freeman,11000,Liam Neeson,14000,Christian Bale,23000,205343774,Batman BeginsÂ ,980946,59558,2685,English,USA,PG-13,150000000,2005,8.3,2.35,15000
Eric Darnell,167,35,Cedric the Entertainer,436,Jada Pinkett Smith,851,Bernie Mac,1000,179982968,Madagascar: Escape 2 AfricaÂ ,146019,3285,119,English,USA,PG,150000000,2008,6.7,1.85,0
Shawn Levy,185,189,Steve Coogan,1000,Rami Malek,3000,Robin Williams,49000,177243721,Night at the Museum: Battle of the SmithsonianÂ ,130272,54039,209,English,USA,PG,150000000,2009,5.9,2.35,2000
Gavin Hood,350,151,Dominic Monaghan,2000,Ryan Reynolds,16000,Hugh Jackman,20000,179883016,X-Men Origins: WolverineÂ ,361924,40054,641,English,USA,PG-13,150000000,2009,6.7,2.35,0
Lana Wachowski,245,0,Nona Gaye,233,Collin Chou,269,Essie Davis,309,139259759,The Matrix RevolutionsÂ ,364948,1062,2121,English,Australia,R,150000000,2003,6.7,2.35,0
Chris Buck,406,69,Livvy Stubenrauch,490,Maurice LaMarche,523,Josh Gad,1000,400736600,FrozenÂ ,421658,2582,904,English,USA,PG,150000000,2013,7.6,2.24,58000
Lana Wachowski,275,0,Helmut Bakaitis,30,Daniel Bernhardt,198,Steve Bastoni,234,281492479,The Matrix ReloadedÂ ,421818,534,2789,English,USA,R,150000000,2003,7.2,2.35,0
Alan Taylor,486,230,Anthony Hopkins,12000,Natalie Portman,20000,Chris Hemsworth,26000,206360018,Thor: The Dark WorldÂ ,414070,59803,532,English,USA,PG-13,170000000,2013,7.1,2.35,63000
George Miller,739,750,ZoÃ« Kravitz,943,Charlize Theron,9000,Tom Hardy,27000,153629485,Mad Max: Fury RoadÂ ,552503,40025,1588,English,Australia,R,150000000,2015,8.1,2.35,191000
Ron Howard,298,2000,Armin Mueller-Stahl,294,Ayelet Zurer,745,Tom Hanks,15000,133375846,Angels & DemonsÂ ,207839,16948,435,English,USA,PG-13,150000000,2009,6.7,2.35,0
Kenneth Branagh,516,0,Anthony Hopkins,12000,Natalie Portman,20000,Chris Hemsworth,26000,181015141,ThorÂ ,536314,60059,738,English,USA,PG-13,150000000,2011,7,2.35,63000
Byron Howard,225,59,James Lipton,699,Diedrich Bader,759,ChloÃ« Grace Moretz,17000,114053579,BoltÂ ,146766,20007,178,English,USA,PG,150000000,2008,6.9,1.85,0
Hoyt Yeatman,145,12,Niecy Nash,182,Piper Mackenzie Harris,607,Kelli Garner,730,119420252,G-ForceÂ ,33042,2217,90,English,USA,PG,150000000,2009,5.1,2.35,0
Jonathan Liebesman,310,473,Lily James,502,Edgar RamÃ­rez,897,Liam Neeson,14000,83640426,Wrath of the TitansÂ ,152826,16184,253,English,USA,PG-13,150000000,2012,5.8,1.85,19000
Tim Burton,526,13000,Christopher Lee,16000,ChloÃ« Grace Moretz,17000,Johnny Depp,40000,79711678,Dark ShadowsÂ ,199039,80849,479,English,USA,PG-13,100000000,2012,6.2,1.85,82000
Christopher McQuarrie,465,188,Sean Harris,641,Jeremy Renner,10000,Tom Cruise,10000,195000874,Mission: Impossible - Rogue NationÂ ,232187,21840,440,English,China,PG-13,150000000,2015,7.4,2.35,47000
Joe Johnston,357,394,Art Malik,162,Simon Merrells,490,Anthony Hopkins,12000,61937495,The WolfmanÂ ,89442,13071,432,English,USA,R,150000000,2010,5.8,1.85,0
